family,genus,species,name,status,obs
Menispermaceae,Abuta,Abuta grandiflora,,Casi amenaza,PMB 2015
,Adiantum ,Adiantum tetraphyllum,,,hierbas comunes en el sotobosque tropical lluvioso
Fabaceae,Albizia ,Albizia niopoides,Pashaquillo blanco,LC,Maderable
Euphorbiaceae,Alchornea ,Alchornea triplinervia,,,
Fabaceae,Amburana ,Amburana cearensis,,Vulnerable,PMB 2015
,Anadenanthera ,Anadenanthera peregrina,Yopo,,Arbol
Bromelidae,Ananas ,Ananas comusus ,Piña,,Frutales
Annonaceae,Anaxogorea,Anaxogorea,,,
Annonaceae,Anaxogorea,Anaxogorea pachypetala,,,Endemica
Annonaceae,Annona,Annona,,,
Annonaceae,Annona,Annona hypoglauca,,,
,Aphelandra,Aphelandra,,,
Fabaceae,Apuleia ,Apuleia leiocarpa,Anacaspi,LC,Maderable
Annonaceae,Ardisia,Ardisia nigrovieren,,,Endemica
Apocynaceae,Aspidosderma,Aspidosderma,,,PMB 2015
Apocynaceae,Aspidosperma ,Aspidosperma parvifolium,,,
Arecaceae,Astrocaryum ,Astrocaryum javarense,Huicungo,,"Arbustivo, herbaceo"
Arecaceae,Astrocaryum ,Astrocaryum murmuru,Chonta,,"Arbustivo, herbaceo"
Arecaceae,Attalea ,Attalea butyracea,Palmera de Shebon / Shevon ,,"Arbustivo, herbaceo"
Arecaceae,Attalea ,Attalea phalerata,Shapaja,,"Arbustivo, herbaceo"
,Baccharis ,Baccharis pedunculata,,,especie pionera arborea y arbustiva
,Banara,Banara,,,PMB 2015
Fabaceae,Bauhinia ,Bauhinia sp1,,,
,Bixa ,Bixa platycarpa,,,especie pionera arborea y arbustiva
Moracea,Brosimum,Brosimum,,,PMB 2015
Solanaceae,Brunfelsia ,Brunfelsia grandiflora,Chirisanango,,"Arbustivo, herbaceo"
Maranthaceae,Calathea ,Calathea lutea,Bijao,,"Arbustivo, herbaceo"
,Calatola ,Calatola costaricensis,,,Especies de arboles mas comunes
Rubiaceae,Calycophyllum ,Calycophyllum spruceanum,Capirona,LC,Maderable
,Calyptranthes,Calyptranthes 4,,,
Myrtaceae,Calyptranthes,Calyptranthes desiflroa,,DD,
Myrtaceae,Calyptranthes,Calyptranthes speciosa,,LR/nt,
Lecythidaceae,Cariniana ,Cariniana decandra,Cachimbo,LC,Maderable
Cyclanthaceae,Carludovida ,Carludovida palmata,Bombonaje,,"Arbustivo, herbaceo"
Caryocaraceae,Caryocar ,Caryocar amygdaliforme,,,
Euphorbiaceae,Caryodendron ,Caryodendron orinocensis,,,
Bombacaceae,Cavanillesia ,Cavanillesia sp1,,,
Cecropiaceae,Cecropia ,Cecropia engleriana,,,
,Cecropia ,Cecropia sciadophylla,,,especie pionera arborea y arbustiva
Meliaceae,Cedrela,Cedrela fissilis,Cedro,Vulnerable,PMB 2015
Meliaceae,Cedrela,Cedrela odorata,Cedro,Vulnerable,PMB 2015
Malvaceae,Ceiba ,Ceiba pentandra,,Casi amenazado (NT),
Malvaceae,Ceiba,Ceiba petandra,Lupuna,Casi amenaza,PMB 2015
Arecaceae,Chelyocarpus ,Chelyocarpus ulei,Falso bombonaje,,"Arbustivo, herbaceo"
Chrysobalanaceae,Chrysobalanaceae ,Chrysobalanaceae sp1,,,
Chrysobalanaceae,Chrysobalanaceae ,Chrysobalanaceae sp2,,,
Clusiaceae,Chrysochlamys ,Chrysochlamys sp1,,,
,Chrysophyllum ,Chrysophyllum venezualense,,,Especies de arboles mas comunes
Rutaceae,Citrus ,Citrus paradisi,Toronja,,Frutales
Moraceae,Clarisia ,Clarisia racemosa,,Casi amenazado (NT),PMB 2015
Melastomataceae,Clidemia ,Clidemia dimorphica,,,"Especies de arbustos comunes, semillas dispersadas por AVES"
Arecaceae,Cocos ,Cocos nucifera,Coco,,Frutales
Fabaceae,Copaifera ,Copaifera paupera,Copaiba,"LC, Vulnerable ","Maderable, PMB 2015"
Boraginaceae,Cordia ,Cordia nodosa,Anayocaspi,,"Arbustivo, herbaceo"
Boraginaceae,Cordia ,Cordia sp1,,,
Lecythidaceae,Couratari,Couratari guianensis,,Vulnerable,
Urticaceae,Crecropia ,Crecropia sciadophylla,Cetico,LC,Maderable
Euphorbiaceae,Croton ,Croton sp1 ,,,
Zingiberaceae,Curcuma ,Curcuma longa,Palillo,,"Arbustivo, herbaceo"
Cyperaceae,Cyperus ,Cyperus articulatus,Piri piri,,"Arbustivo, herbaceo"
,Dictyolioma ,Dictyolioma peruvianum,Barbasco,,
Araceae,Dieffenbachia ,Dieffenbachia obliqua,Patiquina,,"Arbustivo, herbaceo"
,Diplazium,Diplazium,,,
Araceae,Dracontium ,Dracontium loretense,Jergon sacha,,"Arbustivo, herbaceo"
Euphorbiaceae,Drypetes ,Drypetes amazonica,,,
Annonaceae,Duguetia,Duguetia quitarensis,,,
,Dydymochlaena ,Dydymochlaena truncatula,,,hierbas comunes en el sotobosque tropical lluvioso
Lauraceae,Endlicheria,Endlicheria,,,
Bombacaceae,Eriotheca ,Eriotheca globosa,,,
,Eritrina ,Eritrina sp,,,especie pionera arborea y arbustiva
Apiaceae,Eryngium ,Eryngium foetidum,Sacha culantro,,"Arbustivo, herbaceo"
Lecythidaceae,Eschweilera ,Eschweilera coriacea,Machimango,LC,Maderable
Euphorbiaceae,Euphorbiaceae ,Euphorbiaceae sp1,,,
Arecaceae,Euterpe ,Euterpe precatoria,Huasai,,"Arbustivo, herbaceo"
,Faramea,Faramea,,,
Moraceae,Ficus,Ficus,,,PMB 2015
Moraceae,Ficus ,Ficus gomelleira,,,"Arbol emergente, Arbol mas grande (DAP de 620)"
,Gadua,Gadua sarcocarpa,Paca,,Bambuacea (no creo que se el temrino correcto)
Euphorbiaceae,Glycidendron ,Glycidendron amazonicum,,,
,Grias ,Grias peruviana,,,"Especies de arboles mas comunes, arbol mediano (no pasa de 20 m de alto)"
Meliaceae,Guarea,Guarea,,,PMB 2015
Meliaceae,Guarea ,Guarea guidonia,Requia,,Arbol
Meliaceae,Guarea ,Guarea kunthiana,Requia,LC,Maderable
Meliaceae,Guarea ,Guarea macrophylla,Requia de altura,LC,"Maderable, Especies de arboles mas comunes"
Annonaceae,Guatteria,Guatteria schomburgkiana,,,
Annonanceae,Guatteria ,Guatteria sp,Carahuasca,LC,Maderable
Annonaceae,Guatteria ,Guatteria sp1,,,
Poaceae,Gynerium ,Gynerium sagittatum,Caña brava,,"Arbustivo, herbaceo"
Fabaceae,Handroanthus ,Handroanthus ochraceus,Tornillo,LC,Maderable
Heliconeaceae,Heliconia,Heliconia,,,
Heliconiaceae,Heliconia ,Heliconia episcopalis,Platanillo,,"Arbustivo, herbaceo"
Heliconiaceae,Heliconia ,Heliconia rostrata,Platanillo,,"Arbustivo, herbaceo"
Heliconiaceae,Heliconia ,Heliconia schumaniana,Platanillo,,"Arbustivo, herbaceo"
Heliconiaceae,Heliconia ,Heliconia stricta,"Situlli, heliconia",,"Arbustivo, herbaceo"
Heliconiaceae,Heliconia ,Heliconia subulata,Platanillo,,"Arbustivo, herbaceo"
Euphorbiaceae,Hevea ,Hevea brasiliensis,,,
Euphorbiaceae,Hevea ,Hevea guianensis,Caucho,LC,Maderable
Malvaceae,Hibiscus ,Hibiscus rosasinensis,Cucarda,,"Arbustivo, herbaceo"
Euphorbiaceae,Hure ,Hure crepitans,Catahua,LC,Maderable
Fabaceae,Hymeneae ,Hymeneae oblongifolia,Yutu blanco,LC,Maderable
Fabaceae,Inga ,Inga,,,Sin floracion frecuente
Fabaceae,Inga,Inga 6,,,
Leguminosae,Inga ,Inga edulis,Guaba,LC,Maderable
Fabaceae,Inga ,Inga pezizifera,"Shimbillo, Pacae",LC,Maderable
Mimosaceae,Inga ,Inga sp,"Shimbillo rojo, Pacae",LC,Maderable
,Inga,Inga tomentosa,,,PMB 2015
Arecaceae,Iriartea ,Iriartea deltoidea,Huacrapona,,"Arbustivo, herbaceo, Especies de arboles mas comunes"
Caricaceae,Jacaratia ,Jacaratia digitata,,,
Euphorbiaceae,Jathropa ,Jathropa gossypifolia,Piñon colorado,,"Arbustivo, herbaceo"
Annonaceae,Klarobelia,Klarobelia candida,,,Endemica
,Lonchocarpus,Lonchocarpus ucayalina,,,
,Lunaria,Lunaria parvifolia,,,
Malvaceae,Mala ,Mala sp,Malva,,"Arbustivo, herbaceo"
,Mangifera ,Mangifera indica,Mango,,Frutales
,Manikara,Manikara bidentaca,,Vulnerable,PMB 2015
Sapotaceae,Manilkara,Manilkara bidentata,,Vulnerable,
Bignonaceae,Mansoa ,Mansoa alliacea,Ajosacha,,"Arbustivo, herbaceo"
Malvaceae,Matisia,Matisia cordata,Sapote,,
Arecaceae,Mauritia ,Mauritia  flexuosa,Aguaje,,Frutales
,Miconia,Miconia 3,,,
Melastomataceae,Miconia ,Miconia palaceae,,,"Especies de arbustos comunes, semillas dispersadas por AVES"
Sapotaceae,Micropholis ,Micropholis egensis,Caimitillo,LC,Maderable
Olacaceae,Minquartia,Minquartia guianensis,,LR/nt,
Melastomataceae,Mouriri ,Mouriri grandiflora,Charichuela,LC,Maderable
Myrsinaceae,Myrcia,Myrcia fallax,,Cr,
,Naucleopsis,Naucleopsis,,,PMB 2015
Euphorbiaceae,Nealchornea ,Nealchornea japurensis,,,
,Nectandra,Nectandra,,,PMB 2015
Nyctaginaceae,Neea,Neea,,,
Nyctaginaceae,Neea,Neea divaricata,,,
,Ochroma ,Ochroma pyramidale,,,especie pionera arborea y arbustiva
Lauraceae,Ocotea,Ocotea,,,
Lauraceae,Ocotea ,Ocotea aciphylla,Moena,LC,Maderable
Lauraceae,Ocotea,Ocotea cernua,,,
Poaceae,Olyra ,Olyra latifolia,Carricilllo,,"Arbustivo, herbaceo"
Fabaceae,Ormosia ,Ormosia coccinea,Huayruro,LC,Maderable
Myritistiaceae,Otoba ,Otoba parvifola,Caobilla,LC,"Maderable, Especies de arboles mas comunes"
Myristicacea,Otoba,Otoba parvifolia,Cumula,,PMB 2015
,Oxalis ,Oxalis lezpedezioides,,,"herbacea, flores amarillas y peciolo suculento"
,Parina ,Parina sp,,,
Fabaceae,Parkia ,Parkia nitida,Pasho,LC,"Maderable, arbole emergente, Arbol mas grande (DAP de 329)"
,Paullinia,Paullinia,,,
Euphorbiaceae,Pausandra ,Pausandra trianae,,,
,Pentagonia ,Pentagonia parvifolia,,,Especies de arboles mas comunes
,Perebea,Perebea,,,
,Philodendrum,Philodendrum,,,
,Phithecellobium,Phithecellobium sp,,,
Piperaceae,Piper,Piper 5,,,
Piperaceae,Piper,Piper apodum,,,Endemica
Piperaceae,Piper ,Piper sp,,,"Especies de arbustos comunes, semillas dispersadas por MURCIELAGOS"
Piperaceae,Piper ,Piper tuberculatum,Matico,,"Arbustivo, herbaceo"
Urticaceae,Pouroma,Pouroma cecropifolia,,,
Urticaceae,Pouroma,Pouroma minor,,,PMB 2015
Cecropiaceae,Pourouma ,Pourouma cecropiaefolia,,,
Urticaceae,Pourouma ,Pourouma cecropiifolia,Uvilla,LC,Maderable
Cecropiaceae,Pourouma ,Pourouma minor,,,
Cecropiaceae,Pourouma ,Pourouma sp1,,,
Sapotaceae,Pouteria ,Pouteria caimito,Caimito,,Frutales
Sapotaceae,Pouteria,Pouteria krukovii,,Vulnerable,
Burseraceae,Protium ,Protium sp1,,,
,Pseudolmedia,Pseudolmedia,,,
,Pseudolmedia,Pseudolmedia laevigata,,,PMB 2015
Moraceae,Pseudolmedia ,Pseudolmedia laevis,Chimicua,LC,Maderable
Phyllantaceae,Pyllanthus ,Pyllanthus niruri,Chanca piedra,,"Arbustivo, herbaceo"
Bombacaceae,Quararibea ,Quararibea guianensis,,,
Bombacaceae,Quararibea ,Quararibea witii,,,
Zingiberaceae,Renealmia ,Renealmia thyrsoidea,Porenki,,"Arbustivo, herbaceo"
,Rinorea ,Rinorea guianensis,,,Especies de arboles mas comunes
,Rinorea ,Rinorea guianesis,,,arbol mediano (no pasa de 20 m de alto)
Annonanceae,Rollinia ,Rollinia peruviana diels,Anonilla,LC,Maderable
Annonaceae,Rollinia ,Rollinia sp1,,,
Poaceae,Saccharum ,Saccharum officinarum,Caña de azucar,,"Arbustivo, herbaceo"
Euphorbiaceae,Sapium ,Sapium marmierii,,,
Siparunaceae,Siparuna,Siparuna,,,
Elaeocarpaceae,Sloanea,Sloanea,,,PMB 2015
Elaeocarpaceae,Sloanea ,Sloanea fragrans,,,
Arecaceae,Socratea,Socratea exorrhiza,Cashapona y pona,LC,"PMB 2015, Maderable, Arbustivo, herbaceo"
Arecaceae,Socratea ,Socratea salazarii,,,
Meliaceae,Swietenia ,Swietenia macrophylla,,Vulnerable (VU),
Arecaceae,Tagetes ,Tagetes erecta,Rosacisa,,"Arbustivo, herbaceo"
Anacardiaceae,Tapirira ,Tapirira guianensis,,,
,Tectaria,Tectaria,,,
,Tectaria ,Tectaria incisa,,,hierbas comunes en el sotobosque tropical lluvioso
Burseraceae,Tetragastris ,Tetragastris altissima,,,
Burseraceae,Tetragastris ,Tetragastris panamensis,,,
,Theobroma ,Theobroma cacao,Cacao,,
Cannabaceae,Trema ,Trema micrantha,Atadijo,LC,Maderable
Meliaceae,Trichillia,Trichillia,,,
,Triplaris,Triplaris,,,
Rubiaceae,Uncaria ,Uncaria tomentosa,Uña de gato,,"Arbustivo, herbaceo"
,Urea,Urea caracasana,,,
Myristicaceae,Virola,Virola,,,PMB 2015
Myritistiaceae,Virola ,Virola pavonis,Cumala blanca,LC,Maderable
Myritistiaceae,Virola ,Virola sp,Cumala,LC,"Maderable, arbol"
Bignonaceae,,,Tahuari,LC,Maderable
Rubiaceae,Palicourea,,,,"(Vasquez & Rojas, 2004)"
Rubiaceae,Psychotria,,,,"(Vasquez & Rojas, 2004)"
Melastomataceae,Tococa,,,,
Fabaceae,,,,,"top10, familia mas abundante de la mazonia (Vasquez & Rojas, 2004)"
Moraceae,,,,,top10 de arboles
Euphorbiaceae,,,,,top10 de arboles
Sapotaceae,,,,,top10 de arboles
Meliaceae,,,,,top10 de arboles
Lauraceae,,,,,top10 de arboles
Rubiaceae,,,,,top10 de arboles
Cecropiaceae,,,,,top10 de arboles
Annonaceae,,,,,top10 de arboles
Myristicaceae,,,,,top10 de arboles
Monimiaceae,,,,,1 solo indiviudo (raras)
Menispermaceae,,,,,1 solo indiviudo (raras)
Simaroubaceae,,,,,1 solo indiviudo (raras)
Bignoniaceae,,,,,1 solo indiviudo (raras)
Phytolacaceae,,,,,1 solo indiviudo (raras)
Ebenaceae,,,,,1 solo indiviudo (raras)
Magnoliaceae,,,,,1 solo indiviudo (raras)
Icacinaceae,,,,,1 solo indiviudo (raras)
Caricaceae,,,,,1 solo indiviudo (raras)
Polygonaceae,,,,,1 solo indiviudo (raras)
Combretaceae,,,,,1 solo indiviudo (raras)
Sabiaceae,,,,,1 solo indiviudo (raras)
Urticaceae,,,,,1 solo indiviudo (raras)
Bixaceae,,,,,1 solo indiviudo (raras)
Rubiaceae,,,,,"Familia de arbustos mas abundantes (Foster, 1990)"
Melastomataceae,,,,,Familia de arbustos mas abundantes
Piperaceae,,,,,Familia de arbustos mas abundantes
Maranthaceae,,,,,Familia de arbustos representadas por una sola sp
Siparunaceae,,,,,Familia de arbustos representadas por una sola sp
Solanaceae,,,,,Familia de arbustos representadas por una sola sp
Malvaceae,,,,,Familia de arbustos representadas por una sola sp
Apocynaceae,,,,,Familia de arbustos representadas por una sola sp
Boraginaceae,,,,,Familia de arbustos representadas por una sola sp
Flacourticaeae,,,,,Familia de arbustos representadas por una sola sp
,,,,,hierbas mas abundantes
Maranthaceae,,,,,hierbas mas abundantes
Aracaeae,,,,,hierbas mas abundantes
Solanaceae,,,,,hierbas menos abundantes
Gesneriaceae,,,,,hierbas menos abundantes
Costaceae,,,,,hierbas menos abundantes
Sapotaceae,,,,,Sin floracion frecuente
